date,price
,
1993-01-01,3.1880622203411106
1993-02-01,3.1986742853144685
1993-03-01,3.2161144474130245
1993-04-01,3.1949057504853666
1993-05-01,3.2215169111537447
1993-06-01,3.218056168362857
1993-07-01,3.2202514499173276
1993-08-01,3.2578635209036477
1993-09-01,3.244350274941388
1993-10-01,3.27009644663225
1993-11-01,3.259365659737359
1993-12-01,3.2647459933896665
1994-01-01,3.3058491813189783
1994-02-01,3.276251623152712
1994-03-01,3.227695459872335
1994-04-01,3.2445969462098203
1994-05-01,3.2604106268043145
1994-06-01,3.2306402296537007
1994-07-01,3.2690442879565826
1994-08-01,3.3064575335217063
1994-09-01,3.2748146232091173
1994-10-01,3.308907468664385
1994-11-01,3.268277243659461
1994-12-01,3.267591290842286
1995-01-01,3.308588703931849
1995-02-01,3.3485874179873205
1995-03-01,3.370656449797709
1995-04-01,3.405246674943594
1995-05-01,3.444153389060251
1995-06-01,3.458325344570769
1995-07-01,3.495839766519576
1995-08-01,3.50028183528795
1995-09-01,3.5364610370654463
1995-10-01,3.538842083415195
1995-11-01,3.582360825373282
1995-12-01,3.5918080521029867
1996-01-01,3.6329310479526593
1996-02-01,3.6361168238807964
1996-03-01,3.6487561196703022
1996-04-01,3.6639993601896617
1996-05-01,3.686445483208567
1996-06-01,3.689943760280842
1996-07-01,3.6492520573239258
1996-08-01,3.668327349023201
1996-09-01,3.717561992130784
1996-10-01,3.7545147844536078
1996-11-01,3.824976976515347
1996-12-01,3.7959891752560186
1997-01-01,3.8608434227084025
1997-02-01,3.8703641294991042
1997-03-01,3.821415860326462
1997-04-01,3.8859602911638
1997-05-01,3.9472502034166372
1997-06-01,3.983644357095185
1997-07-01,4.063809464289157
1997-08-01,4.010616543656904
1997-09-01,4.053924857860971
1997-10-01,4.032777966023626
1997-11-01,4.070744109597105
1997-12-01,4.085665061756276
1998-01-01,4.10243262021577
1998-02-01,4.169431514871402
1998-03-01,4.214193085721069
1998-04-01,4.229773031085028
1998-05-01,4.208785203699377
1998-06-01,4.247300310175707
1998-07-01,4.236871705833043
1998-08-01,4.084675841620474
1998-09-01,4.142846644981137
1998-10-01,4.224334308662267
1998-11-01,4.278520460808455
1998-12-01,4.338574845678819
1999-01-01,4.376510943825021
1999-02-01,4.3439174784999715
1999-03-01,4.382125716526588
1999-04-01,4.421820268581318
1999-05-01,4.398688410410007
1999-06-01,4.449573937700793
1999-07-01,4.421074901306754
1999-08-01,4.415882927121237
1999-09-01,4.390479747426113
1999-10-01,4.45540057366016
1999-11-01,4.471914547053195
1999-12-01,4.525001191145516
2000-01-01,4.476383379368284
2000-02-01,4.461040312006795
2000-03-01,4.551003069761304
2000-04-01,4.517789172820332
2000-05-01,4.501941845904217
2000-06-01,4.519081040971527
2000-07-01,4.505605592399062
2000-08-01,4.5689001932991555
2000-09-01,4.509966804374679
2000-10-01,4.507787356493741
2000-11-01,4.430200626265702
2000-12-01,4.421897890520085
2001-01-01,4.4684597430223905
2001-02-01,4.368211222816216
2001-03-01,4.307853531779345
2001-04-01,4.392527999665452
2001-05-01,4.386906011331748
2001-06-01,4.359948706227259
2001-07-01,4.352540861191149
2001-08-01,4.291375071735754
2001-09-01,4.2024744482496095
2001-10-01,4.2191577015563535
2001-11-01,4.294243871208543
2001-12-01,4.296433561551921
2002-01-01,4.290020288756658
2002-02-01,4.271921477461051
2002-03-01,4.301789668516994
2002-04-01,4.244735392486599
2002-05-01,4.238783536723274
2002-06-01,4.1586159592719705
2002-07-01,4.080010703305002
2002-08-01,4.086789570142767
2002-09-01,3.971550187617095
2002-10-01,4.055095991218228
2002-11-01,4.114949275618065
2002-12-01,4.051815000531914
2003-01-01,4.031814994550273
2003-02-01,4.018244028733769
2003-03-01,4.016357589113904
2003-04-01,4.101603840099028
2003-05-01,4.154989528883661
2003-06-01,4.16197880108902
2003-07-01,4.1834509894425524
2003-08-01,4.203867051507023
2003-09-01,4.189069650646446
2003-10-01,4.245044514509235
2003-11-01,4.255906263143729
2003-12-01,4.300280151850056
2004-01-01,4.324572033050173
2004-02-01,4.338051296646109
2004-03-01,4.321217316770802
2004-04-01,4.305614823939223
2004-05-01,4.322592859971183
2004-06-01,4.337281266376098
2004-07-01,4.308175989426968
2004-08-01,4.310608935681209
2004-09-01,4.316441830696182
2004-10-01,4.333398067096675
2004-11-01,4.373994278394474
2004-12-01,4.401916753086258
2005-01-01,4.383953678404222
2005-02-01,4.404641988985291
2005-03-01,4.3822596855183535
2005-04-01,4.367267333010104
2005-05-01,4.398983341512443
2005-06-01,4.396469091157331
2005-07-01,4.438044535043417
2005-08-01,4.428626036209588
2005-09-01,4.4323716226579375
2005-10-01,4.412684262070141
2005-11-01,4.455698471401035
2005-12-01,4.448495584511068
2006-01-01,4.477512968617694
2006-02-01,4.483222099299988
2006-03-01,4.49562246637179
2006-04-01,4.512144443209266
2006-05-01,4.48156003065681
2006-06-01,4.479755266752881
2006-07-01,4.488633712299053
2006-08-01,4.5102212842987575
2006-09-01,4.532476348784295
2006-10-01,4.56789488763733
2006-11-01,4.587585291185715
2006-12-01,4.5953116455082395
2007-01-01,4.615796056568122
2007-02-01,4.595984141240946
2007-03-01,4.603547700426012
2007-04-01,4.650849043588607
2007-05-01,4.684206316582313
2007-06-01,4.665176653781175
2007-07-01,4.637666874046534
2007-08-01,4.650417749193538
2007-09-01,4.683668850866131
2007-10-01,4.701876610160627
2007-11-01,4.662374298857066
2007-12-01,4.6457562151707155
2008-01-01,4.588683554330104
2008-02-01,4.562501286131147
2008-03-01,4.548580538807791
