date,attention
2018-01-01,9.270776740780013
2018-01-02,9.324918276683619
2018-01-03,9.112396727646056
2018-01-04,9.10819689830748
2018-01-05,9.07829359105585
2018-01-06,8.992681750892542
2018-01-07,9.068085324395312
2018-01-08,9.134322885552267
2018-01-09,9.085570485020233
2018-01-10,9.182249491809657
2018-01-11,9.131621787264777
2018-01-12,9.073603848402712
2018-01-13,8.994420665751292
2018-01-14,8.997518369733845
2018-01-15,9.039789270781144
2018-01-16,9.077608659522225
2018-01-17,9.152393412021333
2018-01-18,9.126088819528592
2018-01-19,9.103311799217659
2018-01-20,9.039077442538963
2018-01-21,9.09301972939964
2018-01-22,9.146761390333312
2018-01-23,9.117896081584902
2018-01-24,9.1539816383068
2018-01-25,9.163143937145207
2018-01-26,9.008713664124222
2018-01-27,8.905308661189288
2018-01-28,9.009447429596793
2018-01-29,9.057888248784506
2018-01-30,9.001592700945706
2018-01-31,8.99118884193151
2018-02-01,9.00565049932022
2018-02-02,9.016755622903517
2018-02-03,8.839856232763264
2018-02-04,8.84361509218395
2018-02-05,9.092457331319466
2018-02-06,9.007121989469242
2018-02-07,8.89370997756851
2018-02-08,8.928375259853631
2018-02-09,8.932872621931374
2018-02-10,8.812545770172237
2018-02-11,8.861491864286915
2018-02-12,8.961750799330497
2018-02-13,9.061956366209925
2018-02-14,8.899457906353966
2018-02-15,8.865593998902725
2018-02-16,8.78615105486974
2018-02-17,8.751949058058614
2018-02-18,8.820847033377717
2018-02-19,9.207034914967457
2018-02-20,8.952217101765946
2018-02-21,9.038958755220563
2018-02-22,9.030376034755907
2018-02-23,9.20230820027892
2018-02-24,9.889033595565978
2018-02-25,9.04793908261736
2018-02-26,9.087494541977337
2018-02-27,9.04899722156742
2018-02-28,9.081824949740755
2018-03-01,9.056256356593467
2018-03-02,9.04617302576227
2018-03-03,9.038246335337664
2018-03-04,9.114930187171524
2018-03-05,9.40738632416852
2018-03-06,9.276596167753247
2018-03-07,9.170247278409738
2018-03-08,9.125109227613523
2018-03-09,9.173365135851288
2018-03-10,9.00565049932022
2018-03-11,9.046290859969677
2018-03-12,9.193804403336083
2018-03-13,9.110409533351133
2018-03-14,9.27706400401909
2018-03-15,9.0595174822416
2018-03-16,9.065198986306513
2018-03-17,8.976135873302548
2018-03-18,9.161150127785412
2018-03-19,9.435641593844192
2018-03-20,9.305286849285137
2018-03-21,9.221873607789856
2018-03-22,9.203114326884442
2018-03-23,9.09638749190015
2018-03-24,9.019300924562506
2018-03-25,9.089866218508309
2018-03-26,9.159678457173955
2018-03-27,9.154298981092557
2018-03-28,9.167328481382892
2018-03-29,9.155356063643422
2018-03-30,9.134214981586691
2018-03-31,9.033722518098907
2018-04-01,9.1986725671085
2018-04-02,9.150696519048667
2018-04-03,9.43284371840297
2018-04-04,9.366660126231137
2018-04-05,9.298900548955663
2018-04-06,9.106866963499908
2018-04-07,9.00601857490256
2018-04-08,9.13701670755734
2018-04-09,9.234837843576571
2018-04-10,9.167745974343763
2018-04-11,9.192685436737461
2018-04-12,9.14644164612595
2018-04-13,9.113609183016411
2018-04-14,8.909235279192261
2018-04-15,9.059633754551479
2018-04-16,9.280519206597429
2018-04-17,9.245031611766112
2018-04-18,9.215327913487222
2018-04-19,9.404672841436273
2018-04-20,9.166179476190413
2018-04-21,9.000606507571892
2018-04-22,9.514953305087944
2018-04-23,9.2850767180902
2018-04-24,9.322150047028188
2018-04-25,9.24116051431607
2018-04-26,9.217514575724183
2018-04-27,9.07566546864958
2018-04-28,9.03049574505712
2018-04-29,9.040500592684284
2018-04-30,9.089753408987065
2018-05-01,9.11007795003779
2018-05-02,9.06009870864564
2018-05-03,9.097171673870545
2018-05-04,9.06589246761031
2018-05-05,8.933004591578547
2018-05-06,8.940105213128122
2018-05-07,9.106534203250593
2018-05-08,9.087381464575735
2018-05-09,9.09121894106832
2018-05-10,9.078179468373843
2018-05-11,9.000113045928519
2018-05-12,8.908829791587868
2018-05-13,8.98744678941718
2018-05-14,9.152287440527566
2018-05-15,9.105646300861517
2018-05-16,9.10642325855641
2018-05-17,9.234056898593499
2018-05-18,9.109635667854551
2018-05-19,8.973097896282471
2018-05-20,9.178436822963175
2018-05-21,9.2557916348801
2018-05-22,9.161465204194046
2018-05-23,9.105535257610056
2018-05-24,9.035272443893536
2018-05-25,9.331761227180522
2018-05-26,9.000729834944558
2018-05-27,9.02725852623582
2018-05-28,9.104201775914515
2018-05-29,9.036819971135296
2018-05-30,9.063810579280286
2018-05-31,9.079662048334066
2018-06-01,9.178230318057949
2018-06-02,8.93353229607628
2018-06-03,9.030735122676456
2018-06-04,9.116139576577355
2018-06-05,9.089640586738398
2018-06-06,9.046526486737967
2018-06-07,9.022925868116218
2018-06-08,9.080801000621198
2018-06-09,9.102532419341877
2018-06-10,9.012864567410551
2018-06-11,9.070388411548738
2018-06-12,9.030376034755907
2018-06-13,9.077951183930438
2018-06-14,9.045347797304004
2018-06-15,8.944680683558895
2018-06-16,8.803424211600703
2018-06-17,9.045465728785949
2018-06-18,8.978029932837156
2018-06-19,9.038246335337664
2018-06-20,9.126632622902697
2018-06-21,9.154087430425385
2018-06-22,9.008468955937513
2018-06-23,8.903135633035538
2018-06-24,9.015784277513886
2018-06-25,8.976262255609193
2018-06-26,8.927048647825695
2018-06-27,8.980801413573113
2018-06-28,9.033841828485016
2018-06-29,8.914088348841334
2018-06-30,8.871224644409553
2018-07-01,8.866581653303996
2018-07-02,8.979290649090876
2018-07-03,9.015419779605713
2018-07-04,9.065083359319043
2018-07-05,9.192583650386924
