date,attention
2015-07-01,10.169882145844653
2015-08-01,10.118558608759452
2015-09-01,10.361639982923299
2015-10-01,10.224483504017842
2015-11-01,10.20433261151419
2015-12-01,10.082470208064567
2016-01-01,10.20913232536208
2016-02-01,10.252382309155898
2016-03-01,10.347179290116486
2016-04-01,10.252029513244672
2016-05-01,10.269899933380591
2016-06-01,10.243524855321837
2016-07-01,10.116136224757685
2016-08-01,10.200439030995058
2016-09-01,10.189718572720594
2016-10-01,10.19950974926291
2016-11-01,10.210310268515293
2016-12-01,10.043771097983184
2017-01-01,10.239280987394974
2017-02-01,10.18244416866955
2017-03-01,10.33273428930909
2017-04-01,10.138717764985484
2017-05-01,10.245160527556513
2017-06-01,10.190506905437811
2017-07-01,10.11378899583704
2017-08-01,10.139665782120794
2017-09-01,10.07634782554057
2017-10-01,10.170188553599166
2017-11-01,10.168080101762877
2017-12-01,9.923241159022965
2018-01-01,10.132891466821151
2018-02-01,10.051605787988585
2018-03-01,10.188440905416652
2018-04-01,10.122904167442703
2018-05-01,10.175268875456233
2018-06-01,10.16103253056767
2018-07-01,10.142268204629737
2018-08-01,10.116944338260794
2018-09-01,10.016637650468784
2018-10-01,10.10242037513528
2018-11-01,10.004056607457823
2018-12-01,9.828602355344339
2019-01-01,10.018110043372825
2019-02-01,9.908475094047168
2019-03-01,10.01784249677353
2019-04-01,9.990123859195675
2019-05-01,9.989252319496922
2019-06-01,9.946786476931276
2019-07-01,9.933094897288786
2019-08-01,9.892173792635855
2019-09-01,9.878272303395065
2019-10-01,9.989802853988047
2019-11-01,9.928716606581904
2019-12-01,9.713657880251851
2020-01-01,9.861466923273516
2020-02-01,9.802285047026965
2020-03-01,9.680718930926991
2020-04-01,9.702839079049289
2020-05-01,9.680281499268713
2020-06-01,9.606630182148894
2020-07-01,9.616072111201778
2020-08-01,9.586994398230228
2020-09-01,9.61146273065021
2020-10-01,9.651558649790164
2020-11-01,9.631153757031147
2020-12-01,9.652265977087122
2021-01-01,9.674074388208323
2021-02-01,9.67130325656977
2021-03-01,9.830701782810475
2021-04-01,9.62812922977318
2021-05-01,9.348013177101256
2021-06-01,9.365718869155696
2021-07-01,9.280146246220145
2021-08-01,9.257033099968165
2021-09-01,9.26188863385676
2021-10-01,9.311722986264785
2021-11-01,9.32420462812523
2021-12-01,9.272939513732704
2022-01-01,9.375515769935166
2022-02-01,9.519074291124575
2022-03-01,10.176829799383084
2022-04-01,10.457085268145988
2022-05-01,10.448598654268668
2022-06-01,9.709235104874208
2022-07-01,9.980587472916977
2022-08-01,9.720885956534854
2022-09-01,9.438670449977693
2022-10-01,9.58107599956325
2022-11-01,10.7706090484022
2022-12-01,9.816894269951032
2023-01-01,9.995747630961425
2023-02-01,9.21074029199751
2023-03-01,9.038127549330516
2023-04-01,8.7662383802531
2023-05-01,8.895903562215581
2023-06-01,8.877939834725023
2023-07-01,8.870522545103873
2023-08-01,8.889446165318288
2023-09-01,8.732304571033183
2023-10-01,8.750841375375533
2023-11-01,8.762176509334903
2023-12-01,8.579040594742317
2024-01-01,8.898228985601227
2024-02-01,8.809116258125274
2024-03-01,8.80071662871916
2024-04-01,8.723068501163928
2024-05-01,8.675563527387679
2024-06-01,8.51959031601596
2024-07-01,8.730851903519232
2024-08-01,8.64259160081057
2024-09-01,8.629628620746026
2024-10-01,8.74321260347591
2024-11-01,8.572817095164234
2024-12-01,4.736198448394496
